State,State_abbr,County,FIPS,Population,Sum of LALOWI1_10,Average of MedianFamilyIncome,Sum of TractWhite,FD%,%White,%Minority
Florida,FL,Bay,12005,168852,14759.36957,55698.70455,138731,0.087410096,0.82161301,0.17838699
Florida,FL,Bradford,12007,28520,51.72090821,52613.75,21801,0.001813496,0.76441094,0.23558906
Florida,FL,Brevard,12009,543376,70665.66186,59805.0354,450927,0.130049288,0.829861827,0.170138173
Florida,FL,Broward,12011,1748066,46645.59804,66064.51801,1102231,0.026684117,0.630543126,0.369456874
Florida,FL,Calhoun,12013,14625,3919.284989,41435.66667,11818,0.267985298,0.808068376,0.191931624
Florida,FL,Charlotte,12015,159978,24521.62716,54085.71795,144059,0.153281246,0.900492568,0.099507432
Florida,FL,Citrus,12017,141236,22913.10177,47019.25926,131350,0.162232729,0.930003682,0.069996318
Florida,FL,Clay,12019,190865,18628.35283,64789.93333,156087,0.097599627,0.817787441,0.182212559
Florida,FL,Collier,12021,321520,34226.57479,74696.65753,269596,0.106452397,0.838504603,0.161495397
Florida,FL,Columbia,12023,67531,3930.163994,46666.66667,52611,0.058197924,0.77906443,0.22093557
Florida,FL,DeSoto,12027,34862,2227.900342,40584.11111,23094,0.063906269,0.66244048,0.33755952
Florida,FL,Dixie,12029,16422,553.6144718,48453.66667,14584,0.033711757,0.88807697,0.11192303
Florida,FL,Duval,12031,864263,85212.32106,58839.50867,526044,0.098595359,0.608661947,0.391338053
Florida,FL,Escambia,12033,297619,37747.79632,56086.01408,204993,0.126832616,0.68877659,0.31122341
Florida,FL,Flagler,12035,95696,17705.46275,58943.3,78710,0.185017793,0.822500418,0.177499582
Florida,FL,Franklin,12037,11549,6.605698783,49253.5,9540,0.000571971,0.826045545,0.173954455
Florida,FL,Gadsden,12039,46389,911.3346923,47908.66667,16646,0.019645491,0.358835069,0.641164931
Florida,FL,Gilchrist,12041,16939,45.63890453,51316.2,15396,0.002694309,0.908908436,0.091091564
Florida,FL,Glades,12043,12884,3971.616539,27148,9153,0.308259589,0.71041602,0.28958398
Florida,FL,Gulf,12045,15863,490.2039332,48795,12384,0.030902347,0.780684612,0.219315388
Florida,FL,Hamilton,12047,14799,1476.092131,41637,8851,0.099742694,0.598080951,0.401919049
Florida,FL,Hardee,12049,27731,4163.181864,42847,20013,0.150127362,0.721683315,0.278316685
Florida,FL,Hendry,12051,39140,2527.971987,36978.42857,23436,0.06458794,0.598773633,0.401226367
Florida,FL,Hernando,12053,172778,23880.92094,47910.55556,154598,0.138217371,0.89477827,0.10522173
Florida,FL,Highlands,12055,98786,16273.98498,37435.07407,79972,0.164739791,0.809547912,0.190452088
Florida,FL,Hillsborough,12057,1229226,109471.5312,60418.96573,876137,0.089057286,0.712755018,0.287244982
Florida,FL,Holmes,12059,19927,4205.906802,42854.25,18043,0.21106573,0.90545491,0.09454509
